TOTAL NUMBER OF CLASSES:: 23.0

SUBGRAPH NUMBER 		 ID 		 Total count 		 Frequency 
1 		 16898 		 1 		 3.3333333333333335
2 		 16900 		 1 		 3.3333333333333335
3 		 16912 		 2 		 6.666666666666667
4 		 17032 		 4 		 13.333333333333334
5 		 24580 		 1 		 3.3333333333333335
6 		 24832 		 2 		 6.666666666666667
7 		 24834 		 2 		 6.666666666666667
8 		 24840 		 1 		 3.3333333333333335
9 		 24848 		 1 		 3.3333333333333335
10 		 25092 		 1 		 3.3333333333333335
11 		 25096 		 1 		 3.3333333333333335
12 		 25108 		 1 		 3.3333333333333335
13 		 25344 		 1 		 3.3333333333333335
14 		 25352 		 1 		 3.3333333333333335
15 		 26640 		 1 		 3.3333333333333335
16 		 26704 		 1 		 3.3333333333333335
17 		 26944 		 2 		 6.666666666666667
18 		 27138 		 1 		 3.3333333333333335
19 		 29184 		 1 		 3.3333333333333335
20 		 30788 		 1 		 3.3333333333333335
21 		 31236 		 1 		 3.3333333333333335
22 		 31248 		 1 		 3.3333333333333335
23 		 31252 		 1 		 3.3333333333333335
